x,time_signal
4.200000000000000178e+00,-7.064855902877517080e-01
4.250000000000000000e+00,-7.236528785936371388e-01
4.299999999999999822e+00,-7.389257940673150671e-01
4.350000000000000533e+00,-7.522756106972108281e-01
4.400000000000000355e+00,-7.636785524764160282e-01
4.450000000000000178e+00,-7.731158281419197031e-01
4.500000000000000000e+00,-7.805736532813422057e-01
4.549999999999999822e+00,-7.860432598149261763e-01
4.600000000000000533e+00,-7.895208928920500746e-01
4.650000000000000355e+00,-7.910077952727891937e-01
4.700000000000000178e+00,-7.905101792959842166e-01
4.750000000000000000e+00,-7.880391865657921935e-01
4.800000000000000711e+00,-7.836108355187371144e-01
4.850000000000000533e+00,-7.772459570627630043e-01
4.900000000000000355e+00,-7.689701185086451618e-01
4.950000000000000178e+00,-7.588135360422880726e-01
5.000000000000000000e+00,-7.468109760138311737e-01
5.050000000000000711e+00,-7.330016453460663772e-01
5.100000000000000533e+00,-7.174290713903567207e-01
5.150000000000000355e+00,-7.001409715829808311e-01
5.200000000000000178e+00,-6.811891132785677927e-01
5.250000000000000000e+00,-6.606291641599545406e-01
5.300000000000000711e+00,-6.385205336453634306e-01
5.350000000000000533e+00,-6.149262057342003152e-01
5.400000000000000355e+00,-5.899125637519668786e-01
5.450000000000000178e+00,-5.635492074727415091e-01
5.500000000000000000e+00,-5.359087631143381047e-01
5.550000000000000711e+00,-5.070666867166052638e-01
5.600000000000000533e+00,-4.771010614273192285e-01
5.650000000000000355e+00,-4.460923892327277041e-01
5.700000000000000178e+00,-4.141233776810270273e-01
5.750000000000000000e+00,-3.812787221568154639e-01
5.800000000000000711e+00,-3.476448842729141231e-01
5.850000000000000533e+00,-3.133098669528276981e-01
5.900000000000000355e+00,-2.783629867825153092e-01
5.950000000000000178e+00,-2.428946442141049766e-01
6.000000000000000000e+00,-2.069960922066239883e-01
6.050000000000000711e+00,-1.707592038898216036e-01
6.100000000000000533e+00,-1.342762398366759702e-01
6.150000000000000355e+00,-9.763961552822467138e-02
6.200000000000000178e+00,-6.094166959098661768e-02
6.250000000000000000e+00,-2.427443338239760467e-02
6.300000000000000711e+00,1.227059750654617420e-02
6.350000000000000533e+00,4.860268926987243443e-02
6.400000000000000355e+00,8.463209287389028557e-02
6.450000000000000178e+00,1.202702634708763263e-01
6.500000000000000000e+00,1.554300757086034546e-01
6.550000000000000711e+00,1.900260344180187688e-01
6.600000000000000533e+00,2.239744801755110259e-01
6.650000000000000355e+00,2.571937892515422375e-01
6.700000000000000178e+00,2.896045674738632059e-01
6.750000000000000000e+00,3.211298375511185688e-01
6.800000000000000711e+00,3.516952194212423777e-01
6.850000000000000533e+00,3.812291032086566611e-01
6.900000000000000355e+00,4.096628143948420342e-01
6.950000000000000178e+00,4.369307708282663127e-01
7.000000000000000000e+00,4.629706312219384334e-01
7.050000000000000711e+00,4.877234348098757333e-01
7.100000000000000533e+00,5.111337318575087663e-01
7.150000000000000355e+00,5.331497047454405447e-01
7.200000000000000178e+00,5.537232793709203627e-01
7.250000000000000000e+00,5.728102266368854112e-01
7.300000000000000711e+00,5.903702538243359443e-01
7.350000000000000533e+00,6.063670856701189882e-01
7.400000000000000355e+00,6.207685349988156798e-01
7.450000000000000178e+00,6.335465627842838954e-01
7.500000000000000000e+00,6.446773275434589667e-01
7.550000000000000711e+00,6.541412239921562399e-01
7.600000000000000533e+00,6.619229109198137007e-01
7.650000000000000355e+00,6.680113282672741626e-01
7.700000000000000178e+00,6.723997034187686461e-01
7.750000000000000000e+00,6.750855467461722714e-01
7.800000000000000711e+00,6.760706364702714355e-01
7.850000000000000533e+00,6.753609929301642723e-01
7.900000000000000355e+00,6.729668423779341380e-01
7.950000000000000178e+00,6.689025704413329443e-01
8.000000000000000000e+00,6.631866654223247393e-01
8.050000000000000711e+00,6.558416516239052863e-01
8.099999999999999645e+00,6.468940129215846602e-01
8.150000000000000355e+00,6.363741068192091399e-01
8.200000000000001066e+00,6.243160692514099219e-01
8.250000000000000000e+00,6.107577104167631887e-01
8.300000000000000711e+00,5.957404019467598122e-01
8.349999999999999645e+00,5.793089557358255259e-01
8.400000000000000355e+00,5.615114947768246045e-01
8.450000000000001066e+00,5.423993163647856663e-01
8.500000000000000000e+00,5.220267480488114398e-01
8.550000000000000711e+00,5.004509967283948813e-01
8.599999999999999645e+00,4.777319913055203537e-01
8.650000000000000355e+00,4.539322193179580189e-01
8.700000000000001066e+00,4.291165579921243922e-01
8.750000000000000000e+00,4.033521001656009131e-01
8.800000000000000711e+00,3.767079755400076224e-01
8.849999999999999645e+00,3.492551677343050942e-01
8.900000000000000355e+00,3.210663276167162183e-01
8.950000000000001066e+00,2.922155834004306896e-01
9.000000000000000000e+00,2.627783479938663458e-01
9.050000000000000711e+00,2.328311241007151311e-01
9.099999999999999645e+00,2.024513075681538821e-01
9.150000000000000355e+00,1.717169894834550958e-01
9.200000000000001066e+00,1.407067575199288101e-01
9.250000000000000000e+00,1.094994970324408290e-01
9.300000000000000711e+00,7.817419240092431110e-02
9.349999999999999645e+00,4.680972911719561563e-02
9.400000000000000355e+00,1.548469710601756318e-02
9.450000000000001066e+00,-1.572280423411855435e-02
9.500000000000000000e+00,-4.673535879180179542e-02
9.550000000000000711e+00,-7.747642383425448753e-02
9.600000000000001421e+00,-1.078705169678034897e-01
9.650000000000000355e+00,-1.378433995156036485e-01
9.700000000000001066e+00,-1.673222558721244591e-01
9.750000000000000000e+00,-1.962358684061641101e-01
9.800000000000000711e+00,-2.245147874974534052e-01
9.850000000000001421e+00,-2.520914963060885139e-01
9.900000000000000355e+00,-2.789005698892503826e-01
9.950000000000001066e+00,-3.048788282956871321e-01
1.000000000000000000e+01,-3.299654832853291531e-01
